scenario,strategy,n_drones,coverage,detection,mission_time,connectivity,pct_capped
perfect,centralized,10,0.982,1.0,455.6,0.499,0.0
perfect,centralized,20,0.955,1.0,191.8,0.702,0.0
perfect,centralized,30,0.969,1.0,156.6,0.819,0.0
perfect,decentralized,10,0.977,1.0,437.4,0.497,0.0
perfect,decentralized,20,0.979,1.0,180.4,0.686,0.0
perfect,decentralized,30,0.978,1.0,149.4,0.805,0.0
perfect,stigmergy,10,0.724,0.68,nan,0.547,100.0
perfect,stigmergy,20,0.966,1.0,487.6,0.635,0.0
perfect,stigmergy,30,0.975,1.0,390.0,0.728,0.0
range,centralized,10,0.2,0.26,nan,0.814,100.0
range,centralized,20,0.301,0.38,nan,0.998,100.0
range,centralized,30,0.352,0.44,nan,0.986,100.0
range,decentralized,10,0.964,0.953,411.5,0.417,20.0
range,decentralized,20,0.948,1.0,173.8,0.792,0.0
range,decentralized,30,0.965,1.0,151.8,0.905,0.0
range,stigmergy,10,0.74,0.72,540.0,0.567,80.0
range,stigmergy,20,0.963,1.0,427.6,0.774,0.0
range,stigmergy,30,0.973,1.0,415.2,0.796,0.0
dead_zone,centralized,10,0.38,0.4,nan,0.638,100.0
dead_zone,centralized,20,0.76,0.78,nan,0.609,100.0
dead_zone,centralized,30,0.825,0.847,nan,0.847,100.0
dead_zone,decentralized,10,0.972,0.993,624.5,0.426,20.0
dead_zone,decentralized,20,0.987,1.0,233.6,0.617,0.0
dead_zone,decentralized,30,0.946,1.0,177.0,0.743,0.0
dead_zone,stigmergy,10,0.729,0.7,nan,0.545,100.0
dead_zone,stigmergy,20,0.972,1.0,455.0,0.712,0.0
dead_zone,stigmergy,30,0.979,1.0,428.8,0.795,0.0
